                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9976,                  7.913,                 4.2154,                      0,                      0,                      0,                      0,                 5.3295,                  7.018,                 4.1593,              0.0001125,              0.0001125,              0.0001125
                      2,                 5.1036,                 6.8331,                 4.1334,                      0,                      0,                      0,                      0,                 5.3117,                 6.9923,                 4.1511,             0.00023632,             0.00023632,             0.00023632
                      3,                 4.8469,                 6.4997,                 4.1243,                      0,                      0,                      0,                      0,                 5.2798,                 6.9459,                 4.1316,             0.00035891,             0.00035891,             0.00035891
                      4,                 4.9388,                 6.6502,                 4.0578,                      0,                      0,                      0,                      0,                 5.2109,                 6.8366,                 4.0869,             0.00048026,             0.00048026,             0.00048026
                      5,                 4.5878,                 5.8353,                 4.0133,                      0,                      0,                      0,                      0,                 5.0996,                 6.4603,                 4.0087,             0.00060037,             0.00060037,             0.00060037
                      6,                 4.3606,                  5.824,                 3.9725,                      0,                      0,                      0,                      0,                 4.9446,                 6.1714,                 3.9263,             0.00071925,             0.00071925,             0.00071925
                      7,                 4.2911,                 5.9407,                 4.0275,                      0,                      0,                      0,                      0,                 4.7146,                 6.1396,                 3.8622,             0.00083688,             0.00083688,             0.00083688
                      8,                 3.8041,                 5.1813,                 3.8439,                0.00013,                0.01562,                  7e-05,                  1e-05,                 3.9669,                 5.6008,                 3.6831,             0.00095328,             0.00095328,             0.00095328
                      9,                 3.8362,                 5.2206,                 3.7049,                0.00013,                0.01562,                  7e-05,                  1e-05,                 3.9448,                 6.0278,                  3.541,              0.0010684,              0.0010684,              0.0010684
                     10,                 3.5868,                 4.6559,                 3.4815,                0.00013,                0.01562,                  7e-05,                  1e-05,                 3.9876,                 5.7648,                 3.5393,              0.0011824,              0.0011824,              0.0011824
                     11,                 3.4166,                 4.5411,                 3.3182,                 0.0001,                  0.025,                  6e-05,                  3e-05,                 4.3038,                 6.3291,                 3.5941,              0.0011881,              0.0011881,              0.0011881
                     12,                  3.442,                 5.2206,                 3.3082,                0.00031,                0.08125,                0.00051,                0.00027,                 3.9652,                 6.5657,                 3.4791,              0.0011819,              0.0011819,              0.0011819
                     13,                  3.271,                 4.7721,                 3.2423,                0.00018,                   0.05,                0.00011,                  4e-05,                 4.2269,                 11.085,                 3.5939,              0.0011757,              0.0011757,              0.0011757
                     14,                 3.1439,                 4.3749,                 3.0644,                0.00147,                0.15313,                0.00128,                0.00042,                 3.0037,                 9.1378,                 2.7911,              0.0011696,              0.0011696,              0.0011696
                     15,                 3.0783,                 4.2042,                 2.9667,                0.25739,                 0.0875,                0.00257,                0.00103,                 3.0833,                 9.0931,                 2.8202,              0.0011634,              0.0011634,              0.0011634
                     16,                   3.03,                 4.5085,                  2.768,                0.34861,                0.07187,                 0.0189,                0.00776,                 3.2872,                 5.2685,                 2.9016,              0.0011572,              0.0011572,              0.0011572
                     17,                 3.0116,                  4.339,                 2.8587,                0.34968,                0.07187,                0.03397,                0.01271,                 3.3319,                 5.7004,                 2.8041,               0.001151,               0.001151,               0.001151
                     18,                 2.9143,                 4.1355,                 2.7303,                0.33068,                 0.0875,                0.03568,                0.00861,                 3.4036,                 5.9016,                 2.9437,              0.0011448,              0.0011448,              0.0011448
                     19,                 2.8445,                 4.0295,                 2.6668,                0.37845,                0.09771,                0.06623,                0.01715,                 3.1755,                 5.3359,                 2.8781,              0.0011386,              0.0011386,              0.0011386
                     20,                 2.7989,                  4.114,                 2.5231,                0.57212,                0.10938,                0.06095,                0.02495,                 2.6881,                 5.5517,                 2.4584,              0.0011324,              0.0011324,              0.0011324
                     21,                 2.7929,                 3.8971,                 2.5497,                0.82277,                0.04688,                0.04488,                0.01787,                 2.7374,                 5.3068,                 2.5046,              0.0011263,              0.0011263,              0.0011263
                     22,                 2.7261,                 3.8667,                 2.6537,                0.84363,                0.04688,                0.05401,                0.02236,                 2.6629,                 4.5913,                 2.4231,              0.0011201,              0.0011201,              0.0011201
                     23,                 2.7888,                 3.9321,                 2.5403,                0.84071,                0.04688,                0.06415,                0.02528,                 2.6403,                 4.1923,                 2.4013,              0.0011139,              0.0011139,              0.0011139
                     24,                 2.6886,                 3.5645,                 2.5439,                0.33959,                   0.15,                0.07659,                0.02592,                 2.6005,                 5.1638,                 2.3863,              0.0011077,              0.0011077,              0.0011077
                     25,                 2.7344,                 3.7283,                  2.506,                0.40024,                0.13437,                0.10136,                0.03258,                 2.5004,                 4.3829,                 2.3477,              0.0011015,              0.0011015,              0.0011015
                     26,                 2.6618,                 3.5054,                 2.4459,                0.59361,                0.09375,                0.08456,                0.02955,                 2.5038,                 3.9724,                 2.3417,              0.0010953,              0.0010953,              0.0010953
                     27,                 2.5488,                 3.4644,                 2.3382,                0.57819,                0.07812,                0.07763,                0.02412,                 2.4838,                 4.0525,                 2.3284,              0.0010891,              0.0010891,              0.0010891
                     28,                 2.5157,                 3.4149,                 2.3636,                0.30557,                0.10312,                0.07592,                0.02929,                 2.4076,                 3.7146,                 2.2971,              0.0010829,              0.0010829,              0.0010829
