                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3615,                0.80954,                 1.1283,                0.88847,                0.68161,                0.77107,                0.45744,                 1.2219,                0.66053,                 1.0443,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.3614,                0.80497,                 1.1298,                0.83278,                0.71713,                 0.7764,                0.46639,                 1.1303,                0.66061,                 1.0277,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.3756,                0.80413,                 1.1415,                0.84466,                0.68429,                 0.7795,                0.45135,                 1.2031,                0.67771,                  1.026,               0.009109,               0.009109,               0.009109
                     38,                 1.3702,                0.81054,                 1.1352,                0.89171,                0.66067,                0.76853,                0.46141,                 1.1678,                0.66016,                 1.0366,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.3714,                0.81012,                 1.1392,                0.83025,                0.67849,                0.75697,                0.45389,                 1.2226,                0.65311,                 1.0373,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.3493,                0.79328,                 1.1211,                0.91207,                0.70135,                0.77879,                0.48161,                 1.1592,                0.64525,                 1.0186,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.3574,                0.80195,                 1.1308,                0.84086,                0.67377,                0.76887,                0.47636,                 1.1239,                0.63211,                 1.0026,                0.00901,                0.00901,                0.00901
                     42,                  1.351,                0.80572,                  1.131,                0.86199,                0.68495,                0.77009,                0.45602,                 1.1792,                0.63726,                 1.0518,              0.0089853,              0.0089853,              0.0089853
                     43,                  1.356,                 0.8073,                 1.1303,                0.85065,                0.70077,                0.77995,                 0.4781,                 1.1598,                0.62119,                   1.05,              0.0089605,              0.0089605,              0.0089605
                     44,                   1.34,                0.79596,                 1.1267,                0.84562,                0.66792,                0.77714,                 0.4747,                 1.1399,                0.62555,                0.99992,              0.0089358,              0.0089358,              0.0089358
                     45,                 1.3571,                0.80231,                  1.135,                0.84636,                0.72255,                0.80793,                0.46927,                 1.1681,                0.64713,                 1.0091,               0.008911,               0.008911,               0.008911
                     46,                 1.3605,                0.80025,                 1.1291,                0.92372,                0.64745,                0.78911,                0.47978,                 1.1469,                0.62871,                 1.0146,              0.0088863,              0.0088863,              0.0088863
                     47,                  1.349,                0.78743,                 1.1273,                0.91411,                0.68432,                0.78859,                0.48229,                 1.1556,                0.62935,                  1.007,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.3434,                 0.7934,                 1.1271,                0.86576,                0.65115,                0.76443,                0.46815,                 1.1373,                0.66057,                 1.0087,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.3461,                0.79507,                 1.1204,                0.83662,                0.72479,                0.78984,                0.48074,                 1.1767,                0.65688,                 1.0125,               0.008812,               0.008812,               0.008812
                     50,                 1.3349,                 0.7782,                 1.1183,                0.84332,                0.71984,                0.78485,                 0.4727,                 1.1914,                0.63522,                 1.0396,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.3594,                0.80227,                 1.1251,                0.85921,                0.70175,                0.78733,                0.48295,                 1.1522,                0.61014,                 1.0334,              0.0087625,              0.0087625,              0.0087625
                     52,                 1.3399,                0.77245,                 1.1212,                0.90709,                0.64876,                0.76408,                0.46921,                 1.1551,                0.60704,                 1.0267,              0.0087378,              0.0087378,              0.0087378
                     53,                 1.3394,                0.78401,                 1.1254,                0.88027,                0.65428,                0.77377,                0.47055,                 1.1516,                0.62762,                 1.0371,               0.008713,               0.008713,               0.008713
                     54,                 1.3321,                0.78542,                 1.1206,                0.85028,                0.73682,                0.79948,                0.49579,                 1.1532,                0.62515,                 1.0354,              0.0086882,              0.0086882,              0.0086882
                     55,                  1.325,                0.78267,                 1.1141,                0.87163,                 0.6892,                0.79607,                0.47791,                 1.1118,                0.63509,                0.99872,              0.0086635,              0.0086635,              0.0086635
                     56,                 1.3231,                0.77748,                 1.1126,                0.92943,                0.66704,                0.78976,                0.48257,                 1.1288,                0.60043,                0.99919,              0.0086388,              0.0086388,              0.0086388
                     57,                 1.3331,                0.77389,                 1.1174,                0.89805,                0.66315,                0.78985,                 0.4854,                 1.1205,                0.61265,                  1.048,               0.008614,               0.008614,               0.008614
                     58,                 1.3307,                 0.7766,                 1.1188,                0.85071,                0.70285,                0.79125,                0.49051,                 1.1444,                0.59127,                 1.0346,              0.0085893,              0.0085893,              0.0085893
                     59,                 1.3277,                0.77391,                 1.1137,                0.93355,                0.67146,                0.79367,                0.48942,                 1.1354,                0.59267,                0.98861,              0.0085645,              0.0085645,              0.0085645
                     60,                 1.3253,                0.77331,                 1.1136,                 0.8812,                0.70911,                0.80259,                0.48547,                 1.1489,                0.61078,                 1.0126,              0.0085398,              0.0085398,              0.0085398
                     61,                 1.3322,                0.78289,                 1.1186,                 0.9095,                0.67092,                0.78925,                0.49312,                 1.0939,                0.58661,                0.98006,               0.008515,               0.008515,               0.008515
                     62,                 1.3142,                0.76897,                 1.1119,                0.87935,                0.71038,                0.79783,                0.49568,                  1.067,                0.58834,                 0.9722,              0.0084903,              0.0084903,              0.0084903
                     63,                   1.32,                0.77096,                 1.1089,                0.89822,                0.69257,                0.79094,                0.49351,                 1.0696,                0.57546,                0.97197,              0.0084655,              0.0084655,              0.0084655
                     64,                 1.3174,                0.77361,                 1.1177,                0.84183,                0.73238,                0.81025,                0.50491,                 1.1099,                 0.5764,                0.98055,              0.0084408,              0.0084408,              0.0084408
                     65,                 1.3065,                0.76548,                 1.1032,                0.94514,                0.67158,                0.79596,                0.49001,                 1.1488,                0.59576,                0.99072,               0.008416,               0.008416,               0.008416
                     66,                 1.3256,                  0.775,                 1.1127,                0.86916,                0.71156,                0.78691,                0.49994,                  1.149,                0.59143,                 0.9984,              0.0083913,              0.0083913,              0.0083913
                     67,                 1.3098,                0.75632,                  1.113,                0.88221,                0.70739,                0.80072,                 0.4998,                 1.1285,                0.59456,                 1.0082,              0.0083665,              0.0083665,              0.0083665
                     68,                 1.3089,                0.76732,                  1.111,                0.83556,                0.71268,                0.78551,                   0.49,                 1.1215,                0.60031,                0.99424,              0.0083418,              0.0083418,              0.0083418
                     69,                 1.3032,                0.74899,                 1.1043,                0.87629,                0.67395,                0.79268,                0.48639,                 1.1435,                0.60211,                 1.0338,               0.008317,               0.008317,               0.008317
                     70,                 1.3072,                0.76125,                 1.1109,                0.85236,                0.70384,                0.80131,                0.48991,                 1.1245,                0.60516,                 1.0261,              0.0082922,              0.0082922,              0.0082922
                     71,                 1.3144,                0.76238,                 1.1109,                0.90209,                0.68026,                0.78908,                0.48087,                 1.1767,                0.60938,                 1.0465,              0.0082675,              0.0082675,              0.0082675
                     72,                 1.3048,                0.75041,                 1.1031,                0.92818,                0.65549,                0.78765,                0.48281,                 1.1502,                0.63235,                 1.0128,              0.0082428,              0.0082428,              0.0082428
                     73,                 1.3065,                0.75744,                  1.109,                0.86616,                 0.6781,                0.79493,                0.48584,                 1.1371,                0.62792,                 1.0303,               0.008218,               0.008218,               0.008218
                     74,                  1.295,                0.74524,                 1.0957,                0.88613,                0.66933,                0.79816,                0.48057,                 1.1305,                0.62603,                 1.0384,              0.0081932,              0.0081932,              0.0081932
                     75,                 1.2917,                0.75525,                 1.0991,                0.91682,                0.67338,                0.79574,                0.48374,                 1.1123,                0.59461,                 1.0334,              0.0081685,              0.0081685,              0.0081685
