key,Key.f2,pressed,1711096780.013351
key,Key.f2,released,1711096780.1006012
mouse,1528,459,1711096781.8262002
mouse,1528,459,1711096781.8283265
mouse,1528,459,1711096781.829536
mouse,1529,459,1711096781.831099
mouse,1530,459,1711096781.8323064
mouse,1531,459,1711096781.8336673
mouse,1533,459,1711096781.8346763
mouse,1533,459,1711096781.8356836
mouse,1534,458,1711096781.8371682
mouse,1536,458,1711096781.8386672
mouse,1537,458,1711096781.8386672
mouse,1538,458,1711096781.8401673
mouse,1540,458,1711096781.8411796
mouse,1542,458,1711096781.8422163
mouse,1546,458,1711096781.843442
mouse,1548,458,1711096781.844884
mouse,1549,458,1711096781.846948
mouse,1551,458,1711096781.8479543
mouse,1557,457,1711096781.848955
mouse,1595,457,1711096781.8595805
mouse,1597,457,1711096781.8610013
mouse,1605,457,1711096781.8624403
mouse,1612,457,1711096781.863448
mouse,1616,457,1711096781.864961
mouse,1624,457,1711096781.865966
mouse,1626,457,1711096781.8671114
mouse,1635,457,1711096781.8683279
mouse,1639,457,1711096781.8694563
mouse,1641,457,1711096781.870853
mouse,1648,457,1711096781.870853
mouse,1652,457,1711096781.8723567
mouse,1660,457,1711096781.8723567
mouse,1663,457,1711096781.8738456
mouse,1671,458,1711096781.8756363
mouse,1675,458,1711096781.8766444
mouse,1677,458,1711096781.8766444
mouse,1684,458,1711096781.878
mouse,1688,458,1711096781.87935
mouse,1699,458,1711096781.8803718
mouse,1704,458,1711096781.8818371
mouse,1710,458,1711096781.8829446
mouse,1713,458,1711096781.8839478
mouse,1717,458,1711096781.8849432
mouse,1725,458,1711096781.885515
mouse,1728,458,1711096781.8866417
mouse,1732,459,1711096781.8876476
mouse,1736,459,1711096781.8890035
mouse,1742,459,1711096781.8900137
mouse,1746,459,1711096781.8910093
mouse,1750,459,1711096781.8920078
mouse,1752,459,1711096781.8935115
mouse,1757,459,1711096781.8935115
mouse,1763,460,1711096781.8955607
mouse,1764,460,1711096781.896891
mouse,1773,460,1711096781.8983738
mouse,1776,460,1711096781.8983738
mouse,1780,460,1711096781.899649
mouse,1785,460,1711096781.9006572
mouse,1787,460,1711096781.901844
mouse,1789,460,1711096781.9031487
mouse,1793,460,1711096781.9031487
mouse,1795,460,1711096781.9056833
mouse,1799,460,1711096781.9056833
mouse,1801,460,1711096781.9067714
mouse,1803,460,1711096781.908023
mouse,1808,461,1711096781.9093769
mouse,1809,461,1711096781.9108636
mouse,1816,461,1711096781.9118698
mouse,1819,461,1711096781.9130287
mouse,1821,461,1711096781.9149806
mouse,1822,461,1711096781.915497
mouse,1829,461,1711096781.9188638
mouse,1832,461,1711096781.9188638
mouse,1834,461,1711096781.92036
mouse,1836,461,1711096781.921824
mouse,1838,461,1711096781.921824
mouse,1838,461,1711096781.9233248
mouse,1841,461,1711096781.9247
mouse,1844,461,1711096781.9257052
mouse,1845,461,1711096781.926832
mouse,1847,461,1711096781.926832
mouse,1848,461,1711096781.9282904
mouse,1849,461,1711096781.9297493
mouse,1851,461,1711096781.9312065
mouse,1852,461,1711096781.9326487
mouse,1853,461,1711096781.9346843
mouse,1855,461,1711096781.9358454
mouse,1856,461,1711096781.9372404
mouse,1856,461,1711096781.9386933
mouse,1858,461,1711096781.9401178
mouse,1859,461,1711096781.9416082
mouse,1859,461,1711096781.94296
mouse,1860,461,1711096781.9441633
mouse,1860,461,1711096781.9458396
mouse,1861,460,1711096781.948848
mouse,1861,460,1711096781.9846585
mouse,1861,460,1711096781.988479
