                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4974,                 8.9051,                 3.6337,                0.55465,                0.04289,                0.02231,                0.00489,                 3.2747,                 4.5331,                 2.5002,              0.0033297,              0.0033297,              0.0033297
                      2,                 2.8647,                 3.7105,                 2.3276,                0.31507,                0.26371,                0.19389,                 0.0878,                 2.3023,                 2.3858,                 1.6571,              0.0066301,              0.0066301,              0.0066301
                      3,                 2.4728,                 2.8711,                 1.9603,                 0.3613,                0.37424,                0.29135,                0.13623,                  2.164,                 2.1454,                 1.5909,              0.0098974,              0.0098974,              0.0098974
                      4,                 2.2972,                 2.3899,                 1.7682,                0.63341,                0.34069,                0.38632,                0.18086,                 1.8874,                 1.6731,                 1.4831,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1832,                 2.1956,                 1.6825,                0.58398,                0.35976,                0.39209,                0.17409,                 1.9584,                 1.6702,                 1.4871,               0.009802,               0.009802,               0.009802
                      6,                 2.0617,                 1.9723,                 1.6051,                0.83127,                 0.4028,                0.50212,                0.21698,                 1.8144,                 1.6674,                 1.3814,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0165,                 1.8928,                 1.5733,                0.63687,                0.46638,                0.50843,                0.24223,                  1.807,                 1.4844,                 1.3803,               0.009703,               0.009703,               0.009703
                      8,                 1.9769,                 1.8125,                 1.5412,                0.66031,                0.47626,                0.55698,                 0.2751,                  1.635,                 1.3151,                 1.3313,              0.0096535,              0.0096535,              0.0096535
                      9,                   1.95,                 1.7423,                 1.4992,                0.61534,                0.47227,                0.52986,                  0.268,                 1.6721,                 1.3434,                 1.3032,               0.009604,               0.009604,               0.009604
                     10,                 1.8957,                 1.6653,                 1.4711,                0.70215,                0.50023,                0.56738,                0.29251,                 1.6689,                 1.1659,                 1.3403,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.859,                 1.5673,                 1.4592,                0.74493,                0.46935,                0.57006,                0.28177,                 1.6236,                 1.1485,                 1.2836,               0.009505,               0.009505,               0.009505
                     12,                 1.8498,                 1.5316,                 1.4242,                0.76752,                0.51173,                0.57645,                0.30408,                 1.5752,                 1.1136,                 1.2636,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8273,                 1.5149,                 1.4211,                0.68761,                0.49734,                0.57937,                0.30705,                 1.5652,                 1.0983,                 1.2837,               0.009406,               0.009406,               0.009406
                     14,                 1.8132,                 1.4556,                 1.4055,                0.81049,                0.47476,                0.57124,                0.30281,                  1.545,                 1.1398,                 1.2005,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7825,                 1.4351,                 1.3877,                0.81095,                0.51959,                0.60722,                0.31396,                 1.4844,                 1.0254,                 1.2178,               0.009307,               0.009307,               0.009307
                     16,                 1.7505,                 1.3691,                 1.3694,                0.72645,                0.54366,                0.62031,                 0.3148,                 1.5683,                 1.0958,                 1.2139,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7595,                 1.3908,                 1.3701,                0.81208,                0.52557,                0.62198,                0.31907,                 1.5232,                 1.0192,                 1.2458,               0.009208,               0.009208,               0.009208
                     18,                 1.7471,                 1.3653,                 1.3703,                0.74057,                0.57317,                0.63099,                0.33605,                 1.4907,                0.99326,                 1.2212,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7336,                 1.3175,                 1.3482,                0.80033,                0.57414,                0.63996,                0.36236,                 1.3736,                0.94609,                 1.1867,               0.009109,               0.009109,               0.009109
                     20,                 1.7174,                  1.331,                 1.3442,                0.82197,                 0.5727,                0.62785,                0.34671,                  1.458,                0.94766,                 1.1843,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.7269,                 1.3079,                 1.3327,                 0.6592,                0.59352,                0.62322,                0.35561,                 1.4358,                0.97154,                 1.2145,                0.00901,                0.00901,                0.00901
                     22,                 1.7085,                 1.2847,                 1.3266,                0.81373,                0.54285,                0.64091,                0.34644,                 1.4878,                0.94053,                 1.1654,              0.0089605,              0.0089605,              0.0089605
                     23,                  1.701,                 1.2608,                 1.3336,                0.69358,                0.60928,                0.64992,                 0.3563,                 1.4413,                0.92065,                 1.1528,               0.008911,               0.008911,               0.008911
                     24,                 1.6831,                 1.2523,                 1.3214,                0.71933,                0.60347,                  0.647,                0.36411,                 1.4334,                0.89506,                 1.1656,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6732,                 1.2481,                 1.3253,                0.80626,                0.59228,                0.65902,                0.36885,                 1.3912,                0.84764,                 1.1471,               0.008812,               0.008812,               0.008812
                     26,                 1.6517,                  1.209,                 1.3081,                0.83503,                0.56364,                0.66573,                0.37284,                 1.4721,                0.93888,                 1.1721,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6747,                 1.2274,                 1.3123,                0.76911,                0.60779,                0.66155,                0.37628,                  1.467,                0.87127,                 1.1689,               0.008713,               0.008713,               0.008713
                     28,                 1.6484,                 1.1666,                 1.2952,                 0.7578,                0.56612,                 0.6532,                0.37949,                 1.3926,                0.90596,                 1.1114,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6467,                 1.1591,                 1.2903,                0.86764,                0.58082,                0.69526,                0.38435,                 1.4186,                0.86331,                 1.1351,               0.008614,               0.008614,               0.008614
                     30,                 1.6279,                 1.1442,                 1.2836,                 0.7869,                0.62481,                0.68507,                0.37912,                 1.4676,                0.87767,                  1.123,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.6418,                 1.1557,                 1.2784,                0.84079,                0.61006,                0.68477,                0.38834,                 1.3098,                0.81957,                 1.0798,               0.008515,               0.008515,               0.008515
                     32,                 1.6298,                 1.1674,                 1.2849,                0.82744,                0.59179,                0.69234,                 0.4044,                 1.3408,                0.81187,                 1.0942,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.6162,                 1.1205,                 1.2667,                0.81392,                0.59854,                0.69649,                   0.38,                 1.3952,                0.84316,                 1.1317,               0.008416,               0.008416,               0.008416
                     34,                 1.6099,                 1.1343,                  1.273,                0.82339,                0.60344,                0.69918,                0.39404,                 1.3109,                0.84941,                 1.0896,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.6022,                 1.1109,                 1.2666,                0.79555,                0.62621,                0.69399,                0.40176,                 1.3507,                0.85669,                 1.0998,               0.008317,               0.008317,               0.008317
                     36,                 1.6051,                 1.1117,                 1.2699,                0.80974,                0.60011,                 0.6928,                0.39675,                  1.377,                0.84269,                 1.1022,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5878,                 1.0828,                 1.2554,                0.82025,                0.58981,                0.68013,                0.39737,                 1.3151,                0.85812,                  1.055,               0.008218,               0.008218,               0.008218
                     38,                  1.591,                 1.0849,                 1.2501,                0.77137,                 0.6539,                0.71213,                0.41592,                 1.2664,                0.78523,                 1.0646,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5878,                 1.0821,                  1.253,                0.79368,                0.60353,                0.70221,                0.41197,                 1.2453,                0.82933,                 1.0899,               0.008119,               0.008119,               0.008119
                     40,                 1.5758,                 1.0639,                 1.2493,                0.82925,                0.65059,                0.72126,                0.42043,                 1.2805,                0.78306,                 1.0926,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.559,                 1.0533,                 1.2475,                0.84935,                0.65826,                0.72906,                0.41003,                 1.3183,                0.80339,                 1.0913,                0.00802,                0.00802,                0.00802
                     42,                 1.5751,                 1.0545,                 1.2382,                 0.8398,                0.63156,                0.72971,                0.42247,                 1.2742,                0.76801,                 1.0835,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5681,                  1.042,                  1.239,                0.83205,                0.63074,                0.72357,                0.41407,                 1.3407,                0.76524,                 1.1106,               0.007921,               0.007921,               0.007921
                     44,                 1.5574,                 1.0302,                 1.2365,                0.86069,                 0.6327,                0.71144,                0.41961,                 1.3223,                0.77242,                 1.1213,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5377,                 1.0174,                 1.2355,                0.85925,                0.63521,                0.72314,                0.41968,                 1.3108,                0.76064,                 1.0674,               0.007822,               0.007822,               0.007822
                     46,                 1.5459,                 1.0205,                 1.2222,                0.90971,                0.64419,                0.72069,                0.43227,                 1.2516,                0.70633,                 1.0709,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5435,                 1.0152,                 1.2275,                0.87415,                 0.6201,                0.72866,                0.44439,                 1.2171,                0.72169,                 1.0478,               0.007723,               0.007723,               0.007723
                     48,                 1.5549,                 1.0287,                 1.2305,                0.90861,                 0.6344,                0.74234,                 0.4216,                 1.2394,                0.74585,                 1.0643,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5381,                  1.013,                 1.2216,                0.82418,                0.69274,                0.75427,                0.44812,                 1.2499,                0.71081,                 1.0382,               0.007624,               0.007624,               0.007624
                     50,                 1.5251,                0.99791,                 1.2184,                0.89293,                0.65051,                0.74145,                0.42794,                 1.2653,                0.73266,                 1.0615,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.5337,                0.99439,                 1.2185,                0.81736,                0.64792,                0.74151,                0.42784,                 1.2732,                0.74726,                 1.0522,               0.007525,               0.007525,               0.007525
                     52,                 1.5193,                      1,                 1.2133,                0.83514,                0.62802,                0.72492,                0.41997,                 1.2547,                0.75757,                 1.0499,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5259,                0.97939,                 1.2195,                0.88716,                0.63048,                0.76629,                0.45833,                 1.1833,                0.69757,                 1.0277,               0.007426,               0.007426,               0.007426
                     54,                 1.5175,                0.99341,                 1.2156,                 0.8069,                0.68971,                0.74524,                0.44066,                 1.1905,                0.71123,                 1.0522,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.5165,                0.97886,                 1.2031,                0.84069,                 0.7138,                0.76976,                0.45695,                 1.1953,                0.70753,                 1.0301,               0.007327,               0.007327,               0.007327
                     56,                 1.5041,                0.94774,                 1.2033,                0.86826,                0.66566,                0.76778,                0.44422,                 1.1727,                0.70297,                 1.0375,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.5045,                0.95704,                 1.1966,                0.77909,                0.68779,                0.75929,                0.45383,                 1.2074,                0.70841,                 1.0371,               0.007228,               0.007228,               0.007228
                     58,                 1.4916,                0.96054,                 1.1956,                0.88117,                0.65883,                0.76803,                0.46375,                 1.2548,                0.69432,                  1.045,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.5026,                0.96778,                 1.2058,                0.88829,                0.65036,                0.76562,                0.46155,                 1.2077,                0.69354,                 1.0451,               0.007129,               0.007129,               0.007129
                     60,                   1.49,                0.93434,                 1.1938,                0.81243,                0.70176,                0.75751,                0.46785,                 1.1776,                 0.6805,                 1.0205,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4824,                 0.9455,                 1.1805,                0.82041,                0.71178,                 0.7698,                0.46486,                 1.1638,                0.67851,                 1.0048,                0.00703,                0.00703,                0.00703
                     62,                 1.4879,                0.94391,                 1.1893,                0.89468,                0.69012,                0.76792,                0.44597,                 1.2192,                0.69358,                 1.0515,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4766,                0.93472,                 1.1906,                 0.8749,                 0.6778,                0.77115,                0.47967,                 1.2036,                0.68433,                 1.0261,               0.006931,               0.006931,               0.006931
                     64,                 1.4674,                0.92219,                 1.1822,                0.87195,                0.68099,                0.76148,                0.45998,                 1.2515,                0.71591,                 1.0442,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4767,                0.91831,                 1.1762,                0.88528,                0.65957,                 0.7715,                0.46313,                 1.2212,                0.69034,                 1.0307,               0.006832,               0.006832,               0.006832
                     66,                 1.4749,                0.93435,                 1.1805,                0.90218,                0.66797,                0.77293,                0.46495,                 1.1957,                0.67256,                 1.0249,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4623,                0.91602,                 1.1739,                0.88502,                0.68756,                0.77046,                0.47325,                 1.1638,                0.66531,                  1.024,               0.006733,               0.006733,               0.006733
                     68,                 1.4483,                0.90777,                 1.1824,                 0.8963,                0.68279,                0.76104,                0.47106,                 1.1101,                0.65605,                 1.0074,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4658,                0.92911,                 1.1774,                0.87968,                0.70011,                0.78451,                0.48643,                 1.1097,                0.64631,                0.99984,               0.006634,               0.006634,               0.006634
                     70,                 1.4565,                0.90069,                 1.1767,                0.87698,                0.68792,                0.78334,                0.47569,                 1.1384,                0.64438,                 1.0134,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4469,                0.89894,                 1.1655,                0.92168,                0.65923,                0.76763,                0.47187,                 1.1501,                0.64215,                 1.0039,               0.006535,               0.006535,               0.006535
                     72,                 1.4668,                0.90578,                 1.1756,                0.89703,                0.69154,                0.77494,                0.47295,                 1.1663,                 0.6534,                 1.0121,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4579,                0.90645,                  1.169,                0.88675,                0.70227,                0.77794,                0.46873,                  1.147,                0.66424,                 1.0106,               0.006436,               0.006436,               0.006436
